Name,Artist,Composer,Album,Grouping,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Lavender,Blawan,,From the Blogs 41,,Future Garage,12794030,319,,,3,,2011,12/29/2013 6:52,9/11/2012 22:08,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Blawan - Lavender.mp3
Swims,Boddika & Joy Orbison,,Swims,Swamp81,Future Garage,14746533,366,,,1,,2012,12/29/2013 5:37,9/11/2012 22:08,320,48000,,MPEG audio file,,http://www.blameitonthedrugs.com,,,,,,H:\LAPTOP\Other Music\Joy Orbison & Boddika - Swims\Boddika & Joy Orbison - Swims (SWAMP017) [Single] (2012)\01 Swims.mp3
A Sidney Jook (Bok Bok Remix),Switch & Erol Alkan,,A Sidney Jook,,House / Bass,13326745,315,,,2,,2012,12/29/2013 9:05,9/18/2012 13:46,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Switch & Erol Alkan - A Sydney Jook\Switch & Erol Alkan - A Sydney Jook [PH19]\02_A Sidney Jook (Bok Bok Remix).mp3
Cake Boss,Girl Unit,,Club Rez,,Future Garage,11662673,269,,,2,,2012,12/29/2013 0:55,9/11/2012 22:09,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Girl Unit - Club Rez\Girl Unit – Club Rez [NS013]\02_Cake Boss.mp3
Workout,L-Vis 1990,,Club Constructions Volume 1,,Dubstep / Grime / Funky,11346994,277,,,1,5,2012,12/29/2013 5:14,9/11/2012 22:08,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\L-Vis 1990 - Club Constructions Vol 1\L-Vis 1990 - Club Constructions Vol. 1 [NSCC001] (2012)\01_Workout.mp3
Bax,Mosca,,Done Me Wrong / Bax,Numbers - NMBRS16,UK Funky,13794871,333,1,1,2,2,2011,12/29/2013 3:52,9/11/2012 22:10,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\msc\Mosca - Done Me Wrong _ Bax (NMBRS16) [EP] (2011)\2 - Mosca - Bax.mp3
Crushin On Me,French Fries,,Sinterklaas Society,,Electronic,12469303,306,,,5,7,2012,12/28/2013 23:38,9/11/2012 22:10,320,44100,,MPEG audio file,,,1,9/18/2012 20:04,,,,H:\LAPTOP\Other Music\Youngunz Sinterklaas Society\Youngunz Sinterklaas Society (26460) [Compilation] (2012)\05_Crushin On Me.mp3
I Don't Like,"Kanye West, Chief Keef, Pusha T, Big Sean & Jadakiss",,From the Blogs 63,,Trap,9688717,283,,,,,,12/29/2013 0:02,9/11/2012 22:08,272,48000,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Kanye West  Chief Keef  Pusha T  Big Sean  Jadakiss-I Don't Like.mp3
Hard Like A Criminal,Lady B,,Strictly For That Nigga (Part 3),,Trap,5274784,209,,,8,,1994,12/29/2013 3:31,9/11/2012 22:08,200,44100,,MPEG audio file,,,,,,,,H:\New Computer\Torrent Stuff\Lady Bee Discography\Lady B - Strictly For That Nigga (Part 3) (1994)\08. Lady B - Hard Like A Criminal.mp3
Pretty Flacko,A$AP Rocky,Space Ghost Purrp,From the Blogs 50,,Trap,8837111,218,,,,,2012,12/29/2013 6:29,9/11/2012 22:08,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Pretty_Flacko.mp3
City Star,Rustie,,Glass Swords,,Bass,7615227,189,,,5,13,2011,12/29/2013 6:37,9/11/2012 22:09,320,44100,,MPEG audio file,, 00000B38 00000DF0 0000BAA2 0000AF0B 0001FAF0 0002166B 00008000 00008000 0000AD55 0000AD55,2,12/11/2012 23:44,1,10/26/2013 3:57,,H:\LAPTOP\Other Music\Rustie - Glass Swords\Rustie - Glass Swords\05. rustie - city star.mp3
Extendos feat. The Game & Waka Flocka (Grove Street BPM Edit),Soulja Boy,,Grove Street Edits,,Rap,11304122,281,,,,,2012,12/29/2013 8:26,9/20/2012 21:53,320,44100,,MPEG audio file,,,3,9/24/2012 11:42,,,,H:\New Computer\Ableton\Chopped & Screwed\Soulja Boy - Extendos\Extendos.mp3
Test Me ,Flosstradamus & DJ Sliink,,From the Blogs 50,,Trap,8678936,215,,,,,,12/29/2013 6:28,9/11/2012 22:08,320,44100,,MPEG audio file,,Fool's Gold Records,,,1,11/25/2013 0:56,,H:\LAPTOP\Other Music\Test Me.mp3
Vibrate,DJ Sliink,,Vibrate,,Bmore,5891863,143,,,1,5,2012,12/29/2013 8:00,9/11/2012 22:07,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\DJ Sliink - Vibrate (2012)\DJ Sliink - Vibrate (2012)\01_Vibrate.mp3
Hoodrat Things,Mike G,,From the Blogs 54,,Bmore,9128687,227,,,,,,12/29/2013 0:12,9/11/2012 22:07,320,44100,,MPEG audio file,,,1,9/18/2012 15:30,,,,H:\LAPTOP\Other Music\Mike G - Hoodrat Things [320].mp3
Why You Think You're Fierce,DJ Tray,,New Jersey Club EP,,Bmore,5806050,131,,,3,,2012,12/29/2013 7:57,9/11/2012 22:07,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\DJ Tray - New Jersey Club\DJ Tray - New Jersey Club [TBMP3102]\03_Why You Think You're Fierce.mp3
Bait ,Brenmar & DJ Sliink ,,From the Blogs 54,BODY HIGH,Bmore,6552528,162,,,,,2012,12/29/2013 8:06,9/11/2012 22:07,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Trap-Snacks-Vol.-5\Trap Snacks Vol. 5 [CJMilli.com]\Bait.mp3
Bring in the Katz (L-Vis 1990 Dub),KW Griff,,Club Constructions Vol. 3,,Bmore,9004313,218,,,2,2,2012,12/29/2013 4:48,9/12/2012 9:52,320,44100,,MPEG audio file,,,5,10/12/2012 0:31,1,3/1/2016 4:04,100,H:\LAPTOP\Other Music\KW Griff - Bring In The Katz (L-Vis 1990 Dub).mp3
Her,Jam City,,Classical Curves,,Future Garage,6079792,148,,,2,,4012,12/29/2013 8:27,9/11/2012 22:09,320,44100,,MPEG audio file,,,5,7/13/2014 15:41,1,11/14/2013 18:04,,H:\LAPTOP\Other Music\Jam City - Classical Curves\Jam City - Classical Curves\02_Her.mp3
Rooster in My Rari (TNGHT Mix),Waka Flocka Flame,,Rooster in my Rari (Remixes),,Trap,7442107,182,1,1,1,3,2012,12/29/2013 4:14,9/12/2012 19:44,320,44100,,MPEG audio file,,,9,2/26/2013 14:19,,,,H:\LAPTOP\Other Music\Waka Flocka Flame - Rooster in My Rari (TNGHT Mix).mp3
Top Floor,TNGHT,,TNGHT,,Trap,4586028,113,,,1,,2012,12/29/2013 2:27,9/11/2012 22:08,320,44100,,MPEG audio file,,,1,9/13/2012 9:03,,,,H:\LAPTOP\Other Music\TNGHT\TNGHT - TNGHT [WAP337LM]\01_Top Floor.mp3
Witit,Danny Brown,,XXX (Deluxe Version),,Trap,5896246,163,1,1,21,22,2012,12/28/2013 23:52,9/11/2012 23:44,256,44100,,Purchased AAC audio file,,,3,12/25/2012 19:22,,,,H:\LAPTOP\Other Music\Danny Brown - XXX (Deluxe Version)\Danny Brown - XXX (Deluxe Version)\21 Witit.m4a
